# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
1.13972	0.05	16.16071	-8.3061	-1.3193	0.22299	-0.11644999999999997	6.641850000000001
1.21113	0.06	18.24937	-9.67493	-1.4562	0.2638	-0.12880999999999998	7.253229999999999
1.27499	0.07	20.22456	-10.97954	-1.58844	0.29778	-0.13557000000000002	7.81879
1.33302	0.08	22.10753	-12.22558	-1.71654	0.3258	-0.14340000000000003	8.347809999999999
1.3864	0.09	23.91344	-13.41777	-1.8406	0.34904999999999997	-0.14614	8.85798
1.43595	0.1	25.65352	-14.56018	-1.96051	0.36821	-0.14671000000000003	9.35433
1.48231	0.11	27.33645	-15.65644	-2.0756	0.38335	-0.14845000000000003	9.83931
1.52593	0.12	28.96906	-16.70974	-2.18646	0.39554	-0.14447	10.323929999999999
1.56719	0.13	30.55689	-17.72298	-2.29285	0.40506	-0.1452	10.800920000000001
1.60639	0.14	32.10448	-18.6988	-2.39492	0.4114	-0.14461000000000002	11.277550000000005
1.64376	0.15	33.61562	-19.63958	-2.49319	0.41816	-0.13940999999999998	11.761600000000001
1.6795	0.16	35.09352	-20.54748	-2.5878	0.42174999999999996	-0.13849	12.241499999999998
1.71379	0.17	36.54093	-21.4245	-2.67888	0.42452999999999996	-0.13648999999999997	12.725590000000006
1.74675	0.18	37.96021	-22.27246	-2.7668	0.42753	-0.13832000000000005	13.210159999999998
1.77852	0.19	39.35344	-23.093	-2.85189	0.42545	-0.13455000000000006	13.699449999999997
1.80919	0.2	40.72243	-23.88763	-2.93465	0.42699000000000004	-0.13291000000000003	14.194230000000001
1.83885	0.21	42.06877	-24.65774	-3.01507	0.42759	-0.13188999999999995	14.69166
