# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.904594	0.05	10.1806	-11.26054	-6.8055672000000005	-0.56947	0.027419999999999778	-8.427557200000003
0.961274	0.06	11.4964	-12.86599	-7.634720000000001	-0.48356999999999994	0.23148000000000035	-9.2564
1.01196	0.07	12.7407	-14.303069999999998	-8.423884000000001	-0.46286000000000005	0.3921600000000005	-10.056953999999998
1.05802	0.08	13.9269	-15.578739999999998	-9.185579	-0.5059400000000001	0.49331999999999954	-10.850039
1.10038	0.09	15.0645	-16.698590000000003	-9.927962	-0.6064700000000001	0.5840700000000001	-11.584452000000002
1.13972	0.1	16.1607	-17.66738	-10.656566999999999	-0.7573500000000002	0.6064399999999999	-12.314157000000003
1.17651	0.11	17.2209	-18.489220000000003	-11.374816	-0.9508400000000001	0.6508899999999997	-12.943086000000001
1.21113	0.12	18.2494	-19.16789	-12.082315000000001	-1.17786	0.6503099999999999	-13.528355
1.24388	0.13	19.2496	-19.70656	-12.782501	-1.43226	0.65724	-14.014480999999998
1.27499	0.14	20.2246	-20.10864	-13.475151	-1.7034400000000003	0.6551400000000001	-14.407491000000004
1.30465	0.15	21.1765	-20.3769	-14.161337	-1.9877200000000004	0.6289899999999995	-14.720466999999998
1.33302	0.16	22.1075	-20.514499999999998	-14.83945	-2.27906	0.6075299999999997	-14.917979999999996
1.36023	0.17	23.0193	-20.523899999999998	-15.512270000000001	-2.5744100000000003	0.5808899999999999	-15.010389999999997
1.3864	0.18	23.9134	-20.408100000000005	-16.177404	-2.8666099999999997	0.5664900000000006	-14.972224000000004
1.41161	0.19	24.7911	-20.1697	-16.840529	-3.15076	0.5188999999999997	-14.850988999999998
1.43595	0.2	25.6535	-19.8113	-17.497234	-3.43483	0.4854299999999996	-14.604433999999998
1.4595	0.21	26.5017	-19.335900000000002	-18.151629999999997	-3.70425	0.45988000000000007	-14.2302
