# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.20211	-6.27693	-0.56782	-0.14806000000000008	-9.014309999999998
0.96127	0.06	11.49638	-14.263	-6.77523	-0.39813	0.02878000000000025	-9.911200000000001
1.01196	0.07	12.74067	-16.24958	-7.17564	-0.25236	0.15653000000000006	-10.780380000000001
1.05802	0.08	13.92687	-18.16929	-7.49846	-0.13036000000000003	0.2515999999999998	-11.61964
1.10038	0.09	15.06452	-20.02789	-7.76022	-0.03090000000000004	0.31277	-12.44172
1.13972	0.1	16.16071	-21.83	-7.97178	0.04932000000000003	0.34886000000000017	-13.242889999999996
1.17651	0.11	17.22088	-23.57944	-8.14308	0.11356999999999998	0.36213999999999946	-14.02593
1.21113	0.12	18.24937	-25.27947	-8.28193	0.16533999999999993	0.3629899999999995	-14.7837
1.24388	0.13	19.24964	-26.93289	-8.39311	0.20450000000000002	0.36958000000000024	-15.50228
1.27499	0.14	20.22456	-28.54216	-8.48402	0.23706999999999995	0.34894999999999987	-16.215600000000002
1.30465	0.15	21.17651	-30.10949	-8.5569	0.25946	0.33064000000000004	-16.89978
1.33302	0.16	22.10753	-31.63683	-8.61578	0.27765000000000006	0.3248500000000001	-17.542579999999997
1.36023	0.17	23.01934	-33.12597	-8.66337	0.29163	0.29972	-18.17865
1.3864	0.18	23.91344	-34.57855	-8.70223	0.29999	0.2605799999999996	-18.806769999999997
1.41161	0.19	24.79111	-35.99607	-8.73456	0.30749	0.23417999999999983	-19.397850000000002
1.43595	0.2	25.65352	-37.3799	-8.76131	0.31322999999999995	0.19720000000000049	-19.97726
1.4595	0.21	26.50167	-38.73135	-8.78494	0.31528999999999996	0.19376999999999955	-20.50556
1.48231	0.22	27.33645	-39.90797	-8.73793	0.31315000000000004	0.1530999999999998	-20.8432
1.50443	0.23	28.15867	-41.18216	-8.75602	0.31389999999999996	0.13029999999999986	-21.335310000000003
1.52593	0.24	28.96906	-42.4265	-8.77509	0.31357999999999997	0.10636000000000023	-21.812589999999997
1.54683	0.25	29.76827	-43.64199	-8.79519	0.31352	0.08220000000000027	-22.273189999999996
1.56719	0.26	30.55689	-44.82957	-8.81815	0.31278	0.06003999999999987	-22.718009999999996
1.58703	0.27	31.33547	-45.99014	-8.84475	0.31138	0.03728999999999982	-23.150749999999995
1.60639	0.28	32.10448	-47.12455	-8.87535	0.31115000000000004	0.013959999999999972	-23.570309999999992
1.62529	0.29	32.8644	-48.2336	-8.91113	0.31038	-0.006820000000000048	-23.976770000000002
1.64376	0.3	33.61562	-49.31806	-8.95204	0.31077	-0.029289999999999594	-24.373
1.66182	0.31	34.35855	-50.37865	-8.99935	0.3113	-0.05106999999999995	-24.75922
1.6795	0.32	35.09352	-51.41606	-9.05408	0.31174999999999997	-0.07348999999999961	-25.138360000000002
1.69682	0.33	35.82088	-52.43096	-9.1165	0.31267	-0.09205999999999936	-25.505969999999998
1.71379	0.34	36.54093	-53.42398	-9.18776	0.31442000000000003	-0.11368	-25.87007
